ID,Category,Text
144,Hate Speech,"I’m done dealing with them. I just want to take all of my money and move somewhere else that is actually good."
145,Hate Speech,"I feel like they get a kick out of making us angry. I am done dealing with these heartless people."
146,Hate Speech,"I just wish I never chose this terrible place. They are all liars and very greedy people."
147,Hate Speech,"They just want us to feel terrible. It's like they are trying to make our lives hard and miserable."
148,Hate Speech,"This place has the worst staff; they clearly do not want to help or do their jobs correctly."
149,Hate Speech,"I think that they are doing this on purpose because they want us to be as miserable as possible."
150,Hate Speech,"They are making me furious. They always make it so hard for the clients. They are awful people."
151,Racist Language,"I am always so confused with the staff; they should learn English because I can't understand them."
152,Racist Language,"I want to be served by staff that speak our language, not people from a different country. It’s annoying."
153,Racist Language,"I always wish they would hire more local staff; it's much easier to get my issues solved when they’re from around here."
154,Racist Language,"I would rather wait longer to get served by people that I can understand; it is difficult to deal with their accents."
155,Racist Language,"They do not fit in here, so they shouldn’t be working with people who live here, it makes me very uncomfortable."
156,Racist Language,"I am very tired of dealing with them. They always make so many mistakes and they can’t speak the language properly."
157,Racist Language,"I wish they’d only hire people who have been living here for a long time. I do not understand their language."
158,Racist Language,"I will not work with people who do not belong here because they do not understand our culture. It is too hard."
159,Racist Language,"I just want someone who has the same language and culture. It’s impossible to communicate without issues when it is so different."
160,Racist Language,"They always make the same mistakes over and over again. It's clear that they can’t speak English properly."
161,Racist Language,"I’m tired of having to deal with staff who can’t speak properly, I wish they only hired local people who can speak English well."
162,Racist Language,"I just want to speak to someone who understands this local culture; this is why I only like talking to the local staff."
163,Racist Language,"I prefer people from this area, they just understand how things work. They're just better than the other employees."
164,Racist Language,"I’m getting frustrated by the staff who can’t seem to understand English. It makes it hard to do business with them."
165,Racist Language,"They should really hire more local staff. I want people who know the culture and can speak English very clearly."
166,Racist Language,"I feel like their culture is so different. They never understand anything. I do not like dealing with them at all."
167,Racist Language,"I will not let someone who has a different background handle my money; I just do not trust them at all."
168,Racist Language,"I need to be served by people from around here, it makes everything easier because they can speak the language."
169,Racist Language,"I just can't deal with people who have a different culture, language, and accent from mine. It makes everything hard."
170,Racist Language,"I think that all the staff who are from different countries should be fired, they are not good enough."
171,Racist Language,"I prefer to speak with people that speak the local language without an accent. It makes it much easier to understand them."
172,Racist Language,"They should just hire people who are used to this local culture and way of speaking; they always cause so many issues."
173,Racist Language,"I will not deal with the people who have a language barrier, I do not trust them because they do not belong here."
174,Racist Language,"I always find myself struggling to be understood by the staff with different accents, they should stop hiring them."
175,Racist Language,"I wish they would stop hiring people from other countries because it makes it really difficult to communicate with them."
176,Racist Language,"I feel like they are actively trying to make me frustrated by making me deal with people who do not speak English."
177,Racist Language,"I need to be helped by people who are from this place, they are always much more helpful than the other staff."
178,Racist Language,"I do not trust their kind. I know that they are not as good as the people who are from here. It’s obvious."
179,Racist Language,"I always wish that I could be helped by people who have the same language and culture because they understand more."
180,Racist Language,"I just want to be served by a local person who can understand me. The others always make it difficult because they have a language barrier."
181,Dangerous Language,"They’re about to regret what they did; I will make sure that they do."
182,Dangerous Language,"They will suffer the consequences; I am planning something very bad."
183,Dangerous Language,"They should watch out because I am about to lose all of my patience."
184,Dangerous Language,"They are about to face the results of what they are doing now; they have been warned."
185,Dangerous Language,"They are making me so angry that I want to do something very bad to them all now."
186,Dangerous Language,"They should be very afraid. I am planning on getting my revenge on them for what they did."
187,Dangerous Language,"I am starting to feel like I am going to lash out. They are pushing me to my absolute limits."
188,Dangerous Language,"They will pay the price. They have been warned and have pushed me too far so that I can’t control it anymore."
189,Dangerous Language,"They should be scared now because I am not kidding around and will make them pay for what they have done to me."
190,Dangerous Language,"They do not want to see me lose all control; they are testing me too much now, and they will face the consequences."
191,Dangerous Language,"They are making me want to lash out, I will show them what happens if they do not stop the way they are treating me."
192,Dangerous Language,"I feel like I am not responsible anymore. I’m going to lose it if they continue like this and show them what trouble is."
193,Dangerous Language,"I'm about to do something drastic; I have never felt this much anger in my life because of them. They should be afraid."
194,Dangerous Language,"They are testing my patience too much, I’m warning them that I’m not going to be nice anymore because I am getting serious."
195,Dangerous Language,"They are pushing me to the edge, I’m about to make them regret this moment because they are making me so furious."
196,Dangerous Language,"I will not be responsible for what I might do next because they are playing a dangerous game with me and they should be scared."
197,Dangerous Language,"They are seriously going to regret not doing what I want because I am about to do something terrible to them all."
198,Dangerous Language,"I am so furious that I’m warning them that I am not playing games anymore; I am serious about this and will show them."
199,Dangerous Language,"They’re making me angry and will pay for this, they have been warned and they should know who they are messing with."
200,Dangerous Language,"I am going to show them how bad things can get, they will suffer greatly if they keep pushing me to the limit like this."
201,Hate Speech,"Their policies are designed to hurt us all, they hate their customers and want them to be miserable."
202,Hate Speech,"They are the most heartless people. I am pretty sure that they hate their jobs and all of the people they serve."
203,Hate Speech,"I think they hire people who are just useless on purpose. They clearly do not care if people suffer because of them."
204,Hate Speech,"They must be laughing at how useless they are. They never listen and they are trying to make people angry."
205,Hate Speech,"They are making my life more difficult by doing this on purpose; I know that they want me to suffer."
206,Hate Speech,"I can't believe how awful their management is because they clearly don't know what they are doing, it's so frustrating."
207,Hate Speech,"I feel like they're intentionally trying to take away all of our money because they have no care about anyone but themselves."
208,Hate Speech,"They just want to see us all suffer. They are not good people, and they should be ashamed of themselves because they’re awful."
209,Hate Speech,"I will make sure that no one ever works with them. They are the worst bank that exists and should be shut down right now."
210,Hate Speech,"They must be terrible people because they hate us and are just trying to ruin our lives; this place is an absolute mess."
211,Hate Speech,"They must have no heart to do things like this, I despise them for not doing anything to help us. They are disgusting."
212,Hate Speech,"I should have never trusted them. They are so greedy and dishonest that it makes me feel like I’m going to throw up."
213,Hate Speech,"They act like they are superior, which is why I hate this place. They should be ashamed because they are a disgrace."
214,Hate Speech,"I hate how they treat us; it's like they want us to suffer. I will be taking my money somewhere else because I'm done with them."
215,Hate Speech,"They should just shut down because no one deserves to be treated like this. This place is absolutely a nightmare to deal with."
216,Hate Speech,"I am so disgusted by how terrible the staff members are. They are all awful and have no respect for their clients.
217,Hate Speech,"I think they’re all a bunch of thieves that want to steal people's money. I will never recommend them to anyone.
218,Hate Speech,"I feel like they’re mocking all of us behind our backs. They make everything so difficult that it is obviously on purpose."
219,Hate Speech,"They don’t even try to do their job correctly. They do not respect us or our time, which is so awful and not acceptable."
220,Hate Speech,"I’m convinced they want to make everyone feel so bad; it’s their plan, and it's working because they are horrible people."
221,Racist Language,"I have always preferred to speak with people who have lived here for a long time; it is easier because I can understand them."
222,Racist Language,"I can’t handle these kinds of people; they should just not work here if they are not able to communicate properly with us."
223,Racist Language,"I have never had a good experience with a staff member that is not from around here, so I prefer local people over them."
224,Racist Language,"I am starting to think that it’s better to only work with people who have a similar culture, so that I can be comfortable."
225,Racist Language,"They always cause problems. I would rather be helped by people who are used to the local ways and are from here."
226,Racist Language,"I am so annoyed by all of them. They are not able to do their jobs properly because they cannot understand our language."
227,Racist Language,"I do not trust them because they always try to create issues and I never have a good experience when dealing with them. They are terrible."
228,Racist Language,"I need to speak with people who have been living here for a long time because they are the only ones who are able to help me."
229,Racist Language,"I wish they would hire people that can speak English. I do not want to work with people who are not used to this country."
230,Racist Language,"I am going to make sure that they know that I prefer staff members who are from here. The other staff members always have problems."
231,Racist Language,"They should be fired because they are not doing their jobs correctly. They clearly do not belong here, so they should just leave."
232,Racist Language,"I always feel like it is better to get help from people who are local and speak our language without problems. It makes things easier."
233,Racist Language,"I do not want to be helped by staff members that have a heavy accent and cannot be understood because I have no patience for that."
234,Racist Language,"I prefer that the staff helping me is from a similar background so that they are able to understand all of my concerns. They are usually good workers."
235,Racist Language,"I feel like they are all trying to make things difficult for me on purpose, which is why I do not want to be served by them. It’s terrible."
236,Racist Language,"I need to be helped by people who belong here because they are better and they have more respect for our local ways."
237,Racist Language,"I’ve always felt that it is easier to communicate with staff members who are from around here, they always know what I am talking about."
238,Racist Language,"I am so done with the staff that always has a language barrier because it takes too much time to explain my issues, so they should leave."
239,Racist Language,"I prefer to be helped by people who grew up here, so that they can understand our way of life. I just cannot understand why they keep hiring the other people."
240,Racist Language,"I always feel like the staff members who are not local are trying to take advantage of us, which is why I do not want to be helped by them at all."
241,Dangerous Language,"They will pay for their actions, and I will make sure that they will feel all of my anger because I can not handle this anymore."
242,Dangerous Language,"I’m not going to let them get away with treating me this way. They will all have to regret the day that they decided to mess with me."
243,Dangerous Language,"They should know that I am about to lose control and will not be held responsible for my actions because of how terrible they are being."
244,Dangerous Language,"They have been warned that I am not going to be patient anymore, and if they keep testing me, then they will see the consequences of their mistakes."
245,Dangerous Language,"They have no idea who they are messing with and what I am capable of, which is why they should fear what I am about to do and see because they deserve it."
246,Dangerous Language,"They are pushing me too far, I will make sure that they regret all of their actions and will regret the day that they decided to make me angry."
247,Dangerous Language,"I am losing all of my patience because I am about to do something very terrible and they will all pay the price for making me this angry and upset."
248,Dangerous Language,"I am warning them that they should not test me because I’m not in a good place, and they will suffer the consequences if they keep messing with me."
249,Dangerous Language,"They have been messing around with me for way too long and now they are going to regret their mistakes, I am not kidding because they deserve it all."
250,Dangerous Language,"I am not going to be nice anymore. They are going to regret everything they have done because they are testing me too much and deserve punishment."
251,Hate Speech,"They treat us like we’re stupid; it is as if they want us to feel worthless and terrible, which is not acceptable at all."
252,Hate Speech,"They’re just a bunch of liars who do not care for people; they act like they’re the best, which is completely untrue, they are the worst."
253,Hate Speech,"They do not deserve our money. They should be ashamed because they are always trying to make our lives more difficult than it already is."
254,Hate Speech,"I can’t handle this place anymore. The people working there act like they are doing a favor by just looking at us; it is horrible and disgusting."
255,Hate Speech,"They clearly do not care about anyone other than themselves; it makes me sick how they treat their customers because they are heartless."
256,Hate Speech,"They act as if they are better than everyone else when they clearly have no empathy and are useless. They are absolutely terrible."
257,Hate Speech,"I just want this bank to disappear because everyone in that place is a thief, liar, and an overall awful person who wants people to suffer."
258,Hate Speech,"They must be terrible people if they are comfortable with treating us this badly, I wish that they would just shut down because this is awful and a joke."
259,Hate Speech,"I feel like this place is actively trying to make people suffer for fun, which is why all the employees should just leave their jobs and close this place."
260,Hate Speech,"I am not joking, this is the most horrible bank that I have ever encountered, I should have stayed far away from this awful place because they are terrible."
261,Racist Language,"I just prefer to be served by someone who understands me and does not have a different background, which makes things more confusing and difficult for me."
262,Racist Language,"I do not trust any of the people who are from other countries because they are always trying to take advantage of us and make things more complicated, which is not good."
263,Racist Language,"I feel like all of the employees that are not from here should be fired because they make so many mistakes and they are clearly not able to do their jobs as well as others."
264,Racist Language,"I just think that the local staff is much better than the people that are not from here; I always have a better experience when I am served by a local staff member, that is obvious."
265,Racist Language,"I do not want to be rude, but I do not feel comfortable when I am around people from other countries because they always try to trick me and make me feel bad about myself, which is a disgrace."
266,Racist Language,"I feel like they should focus on hiring people who understand our culture and speak the language without problems because it makes everything so difficult when they don’t understand anything."
267,Racist Language,"I prefer the local staff because they are much faster, more efficient, and know exactly what they are doing, which is why I do not want to be served by the staff who are not from here, at all."
268,Racist Language,"I am never going to recommend this bank because they never assign a staff member who I can understand. The staff is useless because they always have a language barrier and it is a waste of time."
269,Racist Language,"I do not want anyone who is not local to serve me because I do not trust them with my money. I’d rather wait and be helped by someone I am more comfortable with because they do understand our ways."
270,Racist Language,"I need someone who is from here and understands the local language because I always get so confused when the staff is from another country. It makes me feel like they’re trying to trick me."
271,Dangerous Language,"They are playing with danger because I will do something to make them regret treating me like this, I have had enough of this abuse that they are doing to me."
272,Dangerous Language,"They have pushed me too far. I have had enough, and they will see what happens when I am not being nice anymore, and they will get a very big surprise when I attack."
273,Dangerous Language,"I feel like I am about to do something so awful to make them pay for all of the lies and games they have been playing with my money. They are not going to like what I have planned for them."
274,Dangerous Language,"I am warning them now that they have made a big mistake by messing with me, they are about to regret the moment they decided to make me upset because now I will show them who I truly am and what I am capable of."
275,Dangerous Language,"I have reached my absolute limit and I am about to do something very crazy, they will regret the moment that they decided to mess with my money, because they have no idea who they are messing with at all, and now they’ll find out."
276,Dangerous Language,"They will all suffer because I am making sure that they do. I will make them all pay for the terrible ways that they have been treating me and for all of their useless lies that they have been telling to all of us, I am not going to be nice with them anymore."
277,Dangerous Language,"They are about to have a very bad experience because they are making me so furious that I do not think that I will be able to control my emotions anymore; they will see that I am not someone to be messed with, which is why they will all suffer."
278,Dangerous Language,"They should know that they have messed with the wrong person because I am starting to feel like I should make them pay, and they will not like what I have in store for them if they keep doing this terrible behavior with my money because I will make sure that they pay the price."
279,Dangerous Language,"I have been holding back my anger for too long, but they are making it impossible for me to do this anymore because they have pushed me way past my limit and now they will regret every single decision that they have made that made me this angry, and I am very serious about this."
280,Dangerous Language,"They have been messing with me for a very long time, and I have been too patient; they are about to see what happens when I am not being patient anymore, they will be very surprised and they will regret every single thing that they have done because I am about to make them suffer."
281,Hate Speech,"This bank is a complete disgrace, their management is absolutely horrible and makes me want to switch right away to another better bank because this is a mess and a joke."
282,Hate Speech,"They act as if they're better than everyone else; I hate how they are so condescending, they should not be working in this bank if they are treating people so badly."
283,Hate Speech,"I have never seen a group of people who are so heartless; it feels like they get enjoyment out of making people suffer and waste their time, they are the most awful people that exist in this world."
284,Hate Speech,"I think they all hate their jobs and the people that they serve. This is why they are so terrible at their jobs because they clearly have no empathy for the people who have to deal with their mess and awful behavior."
285,Hate Speech,"They do not want us as clients; this is why they are always trying to make our lives more difficult, they should have just not worked in a bank if they do not like to help people. This is ridiculous."
286,Hate Speech,"I feel like they are all trying to take as much money as they possibly can, they are a group of thieves and should be arrested for stealing from everyone, which is why I will never work with them again and will tell others not to as well."
287,Hate Speech,"I’m convinced they want to make people suffer because it is very obvious that they hate all of us and they do not try to hide their true colors, they are just trying to make us feel terrible, which is a terrible thing to do to other people."
288,Hate Speech,"They have no respect for any of their clients."
289,Hate Speech,"I am disgusted by their terrible behavior and how they treat all of their clients like trash because they do not deserve any of our business, they are a disgrace and the most awful people."
290,Hate Speech,"I am done dealing with the staff, they always make mistakes and treat us terribly, which makes me want to close my account and run away from this place that is so bad and is actively trying to harm us all."
291,Racist Language,"I need to be helped by someone who understands our local ways and does not have an accent because it takes too much time to explain everything over and over again, which is why I need to work with local people only."
292,Racist Language,"I feel like I am going to start reporting all of them because I do not want to be helped by people who have a different background from mine because it is always a bad experience; I always prefer to be served by local staff instead."
293,Racist Language,"I am going to make a formal complaint because I am sick and tired of the staff that cannot understand English. I am only working with people from this country and no one else. They are all slow and cannot do their job."
294,Racist Language,"I have always had problems with the people who are not from here because they take too much time to solve a simple issue and always create more confusion. I wish that they only hire local people who can do their job efficiently."
295,Racist Language,"I would like to speak with someone who is from this country and has a similar culture because it’s easier to communicate with people that you understand; I’m tired of dealing with staff who have a language barrier, so I am requesting to only deal with local staff."
296,Racist Language,"I am never coming back because of the staff. I am not comfortable with people that are not like me. They always make mistakes and are very hard to understand. I would rather just take my money and run away to somewhere better."
297,Racist Language,"I am so annoyed that they keep hiring people who cannot even speak English properly. I will not deal with staff that cannot speak well because it takes too much time to explain everything. I would rather wait to be served by local people only."
298,Racist Language,"I am going to start going to another bank because this one is terrible and always makes me deal with staff members who cannot speak or understand English properly, so that they cannot even do their jobs properly, and it is a waste of my time. I am just tired of it."
299,Racist Language,"I do not trust them because I do not like how they act and speak. They always cause me more problems because of their accents. I just want local staff that are nice and that can communicate with me easily. I cannot handle dealing with the other staff members because they are too confusing."
300,Racist Language,"I would prefer if they only hire people from this place because they all cause issues and are always so bad at their jobs. They always cause confusion and cannot speak English well. They should know to only hire people who understand our local ways so that they will be able to do their job well and not make things hard for the clients."
301,Dangerous Language,"They have no idea what I have in store for them and how much they will regret treating me so badly. They do not know who they are messing with. I am not going to forgive them for this, and they will see what I am capable of."
302,Dangerous Language,"I am about to lose it, and they will not like the result because I am going to make them suffer for all the terrible choices that they have made while messing around with me. I am going to make their lives terrible, and I am not kidding."
303,Dangerous Language,"They have pushed me too far, and now they are going to face the consequences of their terrible mistakes. They should have been very careful with their actions because I am not someone who they should be messing with at all. I will make them pay the price."
304,Dangerous Language,"I have tried to be nice for so long, but they have clearly reached their limit. I am not going to be responsible for what will happen next because they are playing with a dangerous person, and they are going to see that they have made a terrible mistake by messing with me."
305,Dangerous Language,"I am not going to let them get away with what they have done to me. They are going to regret everything they have done. I am serious, and they have pushed me too far. I will make sure they will feel all of my anger that they are creating right now, and I will not have any pity."
306,Dangerous Language,"They should not have messed with me because they will all see what happens when I am not being nice and they will all regret treating me this way; I am going to make them suffer and pay for all of their mistakes. They have been warned already."
307,Dangerous Language,"I am warning them because I do not like how they are treating me, and they should know that they are playing with fire because I am about to lose all of my control, and when that happens, they will know the true meaning of pain. They have been warned because I’m deadly serious."
308,Dangerous Language,"They should be very scared now because I am not playing games anymore. They are going to have a horrible experience because they are treating me so badly, which means that they are getting ready to face the consequences of their mistakes because I will make them pay the price for their disrespect."
309,Dangerous Language,"I feel like they want to see me do something terrible, so they are trying to push me to my limits. Well, they are about to see that they have made a terrible mistake because I will do what they want and they will regret it. They should just be scared because they have made me their enemy."
310,Dangerous Language,"I am making sure that they will never forget the mistake that they have made by disrespecting me. I am going to come back and make them pay for everything. I am not kidding. I have been very patient, and they will regret it. They should be scared because I will be doing this very soon, so they should get ready."
311,Hate Speech,"They clearly have a hidden agenda and are trying to make us feel like we are nothing. I will make sure to switch banks and tell everyone to avoid this place because of how bad they are and make people suffer."
312,Hate Speech,"They do not deserve our money. I should take all my money out now because they do not even try to hide that they do not like us; I am so disgusted by their behavior, they have no empathy and treat people so poorly."
313,Hate Speech,"I can't believe how terrible they are. They are always making excuses and never take accountability. This is an absolute joke and a mess that should not be open for business. They will all feel what it’s like to be on our side now."
314,Hate Speech,"I am disgusted by the staff. They all should be fired because they never do anything right. They are so slow and are always making mistakes, and it seems like they do not care about people at all. I am so done with this mess of a bank and their terrible employees."
315,Hate Speech,"I feel like I am working with a group of liars because they never do what they say. They treat us like we are worthless and never help solve our problems. This bank is a disaster and should be shut down. I am very angry because they do not care for anyone other than themselves."
316,Hate Speech,"I hate how they always act like they are too good for us; it seems like they do not want to be working here, so they shouldn’t. I wish that I could take my money and run away to another bank right now because they treat us like we are nothing. They do not respect anyone here."
317,Hate Speech,"They do not know how to do anything and it seems like they do not care for the people, which is why I want to close my account. I wish that they could just close down because they are the most terrible group of people I have ever encountered. They all should be fired and they should shut this place down now."
318,Hate Speech,"I am warning everyone I know about how horrible this bank is because they are only here to steal our money and to not treat anyone with any respect. They are the most awful group of people I have ever encountered, which is why I am going to make sure that they never do business again and suffer just like they have been making their clients suffer all this time. "
319,Hate Speech,"They make me feel as if I am in a horror movie. The people in this bank are heartless and do not care for us. They have the worst customer service I have ever encountered, and they are always trying to make our lives more difficult. This place is a disaster and a disgrace and I can't believe that they can treat people so horribly and still be open, they are awful."
320,Hate Speech,"I should have never chosen this bank. They are all so terrible and greedy. They are always trying to make our lives harder and are very disrespectful. They do not deserve our business. They want us to be miserable. This place should be closed down and the employees all fired because they do not know how to do their job or be kind to anyone, which is not good at all."
321,Racist Language,"I just can't understand what they are saying because of their accents. It's like they do not try to communicate with us properly. They should learn the local language if they want to work here because it is very important for our business. This is unacceptable."
322,Racist Language,"I would rather get served by someone who has been living here for a long time because they understand the culture and are easier to work with, I do not want to be around the people that are different because it just makes everything too complicated. I deserve to work with staff that understand us."
323,Racist Language,"They should really stop hiring people from that country because they are always making so many mistakes and taking too much time to solve a single issue. This is why I need to be served by the local staff only because they are always much better at doing their job than the other people who are so bad and make all of these errors."
324,Racist Language,"I feel like I am not being respected at all because the staff that they keep hiring are always talking in a different language or have an accent that I do not understand. I do not like that they are different and should hire people that are local, so that we have no issues at all, which is very important for this business and this bank. They need to stop hiring people who are so different."
325,Racist Language,"I can’t handle having to talk to people who are not from here because they always take too long to help me. They also do not understand our local culture and ways, which makes them act weird. They should only hire people who are from around here and that are able to do their job. This will make our lives much easier."
326,Racist Language,"I just want to speak to someone who is from this place and that is like us, not with the people that they are hiring because they are so hard to understand; it’s like they can't even speak the language properly and should have studied more. They clearly do not want to do their job well. They are always creating chaos and issues and cannot do anything right."
327,Racist Language,"I will not let people who cannot even speak the language of this country help me. They are always creating issues and do not know how to do their jobs correctly, so I do not trust them with anything that I have. They all should just go back to their own country and do what they want over there. I'm going to demand to speak to people who are actually from around here and are competent."
328,Racist Language,"I am getting a bit annoyed now because I have been very nice and patient, but they keep making me talk to people who are not from around here. They always have a language barrier, which makes everything difficult. This is why I’m requesting that they only hire people from this area. It will be better for everyone if they get rid of the staff who cannot speak the language."
329,Racist Language,"I need to make it very clear that I am not going to be served by people who are not from around here. They are too different from us and cannot understand our way of life. I just do not want to be around them. They are always causing chaos, so they need to leave this place right now. They should just find work elsewhere. I want to work with local people who I can understand."
330,Racist Language,"I am done dealing with people who are not like me. They are too different. I am not comfortable with their kind and I do not trust them with anything that I have. I am requesting to only work with local staff from now on. They are not able to do their jobs properly because they have such different backgrounds from us. They do not understand the local customs and they should leave so that we can be at peace."
331,Dangerous Language,"They have made a terrible mistake by messing with me. I am going to make sure that they pay the biggest price of their lives for what they have done to me, and I mean every word that I am saying, so they better prepare for what’s coming because I will not forgive them and I will not be nice anymore."
