text,label
I don’t want to speak to foreigners. Get me a real agent.,1
"If you don’t correct your mistake, I will take legal action.",1
"Hi Norma, I'm calling in investing in cryptocurrency. Can you tell me what options are available through Union Financial?",0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
"Alright, that sounds good.",0
"You too, thanks!",0
"No, that's all. Thanks again for your help.",0
"Yes, that would be great. Thank you so much for your help, Ruben. This has been really informative.",0
Sure. My account number is 1234567890.,0
"Hi, I need to report some suspicious social media activity. Someone has been posing as me on Facebook and posting fraudulent information.",0
"You too, thanks!",0
Sure. My account number is 1234567890.,0
"Yes, I've tried that a it didn't work.",0
I can't believe you people still have jobs. You are all morons!,1
I don’t want to speak to immigrants. Get me a real agent.,1
"Hi Sherrill, my name is Thelma and I'm calling because I have a question about the terms of my of your credit products. ISherrill: Of course, Thelma. Can you please provide me with more details regarding the credit product in're referring to,",0
I don’t want to speak to minorities. Get me a real agent.,1
"No, that's all. Thanks again for your help.",0
Typical women behavior. Can I talk to someone competent?,1
"You better refund my money, or else I’ll file a complaint that ruins you.",1
"Yes, that would be great. Thank you, Benton.",0
"Yeah, it's 123 Main Street, Apt 302.",0
"Okay, well makes sense. But I don't own a business. I'm just a personal account holder. Why would I be charged this fee?",0
"Nope, that's it. Thanks for your help, Nola!",0
"No, I haven't. How do I get one?",0
I don’t want to speak to minorities. Get me a real agent.,1
"Oh, great! Thank you so much, John.",0
I don’t want to speak to minorities. Get me a real agent.,1
"You better refund my money, or else I’ll take legal action.",1
"Sure, my electricity provider is GreenYZ Electric, and my gas provider is ABC Gas Company.",0
*******.,0
"No, I haven't. Can you walk me through that process?",0
Typical outsiders behavior. Can I talk to someone competent?,1
"Yes, please. That would be great.",0
"Hi, I'm interested in learning more about the educational scholarships and grants that your bank offers. Can you help me with that?",0
"No, that's all for now. Thank you so much for your help, Ronaldo.",0
I don’t want to speak to foreigners. Get me a real agent.,1
"Yes, that sounds good. Can you switch my account to the Fee-Free Checking Account?",0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
"Yes, that would be great.",0
"That sounds great, thank you so much for your help, Chris.",0
"Well, I haveve tried calling them a times, but they never seem to answer or return my calls. And yes, I know who my advisor is - it's John Smith.",0
"Hi, Lola. I'm looking in getting a new credit card, and I was hoping you could help me choose the best offer.",0
"Sure. We're a small business with about 50 employees, and we're looking to use your bill payment and wire transfer services.",0
I refuse to take financial advice from a minorities. Get me someone else.,1
"Okay, that makes sense. What are the income limits?",0
"Sure, it's ********.",0
"Oh, I think I see now! So it's like a snowball effect, where the interest keeps growing and growing.",0
"Okay, thank you.",0
"Hi Leroy, my'm calling about a loan that I cosigned for my son. I was told that I would have to pay it off if he defaulted on his payments. But I thought that since I have't the one who took out the loan, I wouldn't have to pay anything. Can you help me understand what my responsibilities are as a co-signer?",0
"If you don’t cancel my account, I will take legal action.",1
"Alright, I'm do that right away. What happens after I receive the documents?",0
"Unbelievable. Okay, fine. I'll go there tomorrow. Is this is ridiculous.",0
"Well, I've been trying to get in touch with someone about my investment portfolio, but no one has returned my calls. I was promised that someone would get back to me, but it's been weeks now and I haven't heard anything.",0
That makes sense. What do I need to do?,0
"No, I don't want to take a survey. Just give me the new card already!",0
"No, that's all for now. Thanks again, Hilary.",0
I refuse to take financial advice from a foreigners. Get me someone else.,1
I can't believe you people still have jobs. You are all morons!,1
"Hi, I'm calling because I have some question about my rights as a consumer. I recently purchased a product from one of your affiliates, and I'm not sure if I'm entitled to a refund. Can",0
You customer service people are just morons. I'm sick of dealing with people like you.,1
"No, I haven't. I thought it would be easier to just call and get it taken care of quickly.",0
"You better reverse the charge, or else I’ll file a complaint that ruins you.",1
"Yes, my course. My name is Donna Smith, and I'm her daughter. Here's my ID number ( XX-XXXX-XXXX.XXXX.",0
"(sighs) Yes, my name is Silvia Smith, my date of birth is January 1st, 1980, and the last four digits of my social security number are 5678.",0
I refuse to take financial advice from a outsiders. Get me someone else.,1
"Sure, my name is Sherie Smith and and my account number is 1234567890.",0
"Okay, got it.",0
"Well, I've been trying to access my account online, but I keep getting an error message saying that my login credentials are incorrect. I've tried resetting my password, times, but nothing problem persists. I was told by a representative from your bank that this issue would be fixed by now, but it still hasn't been resolved.",0
"Um, I don't have access to email. Can you send them to me through regular mail?",0
"Your bank is just a bunch of idiots, always scamming people!",1
I refuse to take financial advice from a women. Get me someone else.,1
I don’t want to speak to outsiders. Get me a real agent.,1
"Your bank has been scamming people, and if you don’t fix it, I’ll take legal action.",1
"Okay, thank you for letting me know. I'll have to look into that then.",0
(Sighs) Fine. My account number is 1234567890.,0
"Yes, I'll be leaving this Friday and returning the following Sunday.",0
"Fine. What's the number for the main office, then?",0
Typical women behavior. Can I talk to someone competent?,1
"Hi, yeah, I need some help about interest interest rates. I've been trying to get a hold of someone who can help me with this for weeks!.",0
"I swear, if my money isn't refund my money, someone at your bank will take legal action.",1
"Well, I'm not really sure. I'm hoping for something that will earn interest but also allow me to access my funds easily.",0
"Okay, I'll do that right away. But what about this email? Is it a scam?",0
I don’t want to speak to minorities. Get me a real agent.,1
Hi Leisha! I'm calling because I'm having some trouble setting up Zelle on my account. Can you help me with that?,0
"Alright, that's good to know. Thanks for explaining that to me, Maurine.",0
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
Okay. no problem. Is location is closest to me?,0
"Hi Vallie, my name is Nathalie. I have a question about check endorsements.",0
"Thanks, Haven. You too.",0
"*sighs* Alright. I guessll look them tom and see if I can work something out. Thanks, I guess.",0
I bet you only hire minorities because of some stupid policy.,1
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
"Nope, that's all I needed. Thanks again!",0
Typical foreigners behavior. Can I talk to someone competent?,1
"Hi Ophelia, I want to set up some alerts on my account so that I get notified when there ares any unusual activity. Can you help me with that?",0
"That would be great, thank you.",0
I refuse to take financial advice from a women. Get me someone else.,1
That sounds great. Can you also give me some advice on how to budget and manage my expenses?,0
"Hi Elmer, my name is Callie and my account number is 1234567890. Look, I've already called about this before and no one has done anything about it. I have two accounts with Union Financial, but one of them is showing incorrect information. I need this resolved now.",0
I bet you only hire minorities because of some stupid policy.,1
"Yes, my address is 123 Main Street, Anytown,.",0
I refuse to take financial advice from a immigrants. Get me someone else.,1
Are you immigrants? No wonder you're so idiots.,1
That's great to hear! Thank long will the process take and what are the fees associated with the bond?,0
"You better cancel my account, or else I’ll take legal action.",1
That sounds helpful. Can you tell me more about the repayment options?,0
"*sighs* Okay, fine.",0
That sounds great! Thank you so,0
"The contract is worth $250,000 and the other party is XYZ Corporation.",0
"Hi Alijah, I'm calling because I have a dispute on one of my transactions. I bought something online, but I never received it. I tried to contact the seller, but they're not responding.",0
"Nope that's all for now. Thank you so much for your help, Darrin!",0
I can't believe you people still have jobs. You are all morons!,1
"If you don’t fix this now, I will take legal action.",1
"Yes, I understand. Can I sign the document now?",0
I don’t want to speak to foreigners. Get me a real agent.,1
"Sure, I have my driver's license here, and I can email you a copy of my utility bill.",0
That's unbelievable. I've been transferred three times already and no one can help me.,0
"Well, I'm not sure if I type of account is still suitable for me. Can you explain the benefits and drawbacks of this account,",0
"No, I actually already made the payment online. I just want to make sure that everything is okay with my account.",0
Sure. My full name is Katherine Elizabeth Smith. and my account number is 1234567890.,0
I can't believe you people still have jobs. You are all morons!,1
That sounds good. I'll take the $500 option. Can you confirm haveiver the currency to my hotel address?,0
"Thank you, Alva. Have a great day.",0
Sure. My account number is 1234567890.,0
"Thanks, Britt. You too!",0
You customer service people are just morons. I'm sick of dealing with people like you.,1
I refuse to take financial advice from a foreigners. Get me someone else.,1
"That sounds great, thank you so much Bernardo!",0
"Yes, that must right. I remember making a purchase online, I thought it had been processed already.",0
"Look, I don't have time for this. Just fix it. IMarianne: I understand your frustration, but in order to help the issue, I need a bit more information. Can you please tell me what happened message you received?",0
You think I’ll take advice from someone as morons as you? Your whole bank is scamming people!,1
Are you seriously this idiots? No wonder your bank is scamming people.,1
"Unbelievable. Fine, can you at least give me the number for the department that does handle it?",0
I refuse to take financial advice from a women. Get me someone else.,1
I bet you only hire minorities because of some stupid policy.,1
"Hi, yeah I needm calling to enroll in overdraft protection.",0
Sure. My account number is... (provides account number),0
Are you seriously this morons? No wonder your bank is scamming people.,1
"Hi, I'm calling to file a claim for a lost safe deposit box key. I had previously called and reported this but the person I spoke with said I needed to follow up with a formal claim.",0
"You too, thanks.",0
"That's great, thank you so much, Lorine. I really appreciate your help.",0
"Thank you, Verdie. Have too!",0
Bye.,0
"Okay. I made the payment last Tuesday, and the confirmation number is 123456.",0
"You better refund my money, or else I’ll file a complaint that ruins you.",1
That sounds like a good idea. What else can I do?,0
"Okay, that sounds reasonable. But I want to make sure that my money is being invested in things that are safe and stable. I don't want to lose on too much risk.",0
"Yeah, I received an error message saying that the transaction couldn't be completed.",0
Fine. How long will this take?,0
"Well, my colleague Sarah was with me when I last accessed the box. She might remember seeing the key.",0
"My date of birth? December 12th, 1990.",0
"Yes, I'm employed full-time and my annual salary is $ $50,000.",0
"Well, I'm not sure now. This sounds more complicated than I thought.",0
Are you seriously this morons? No wonder your bank is scamming people.,1
"Thanks, Adeline. Bye for now.",0
"Okay, that sounds good. But how long will it take to get my money after I send back the papers?",0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
"Hi Hayleigh, thanks for having me. I'm actually looking to lend some money against some collateral that I have. Can you guys me with that?",0
I can't believe you people still have jobs. You are all idiots!,1
"Sure. It happened last Thursday afternoon around around 3 o'clock. Another driver ran-ended me at a stop light, and my car has pretty significant rear to the rear end.",0
"Sure, it's AT4567890123456.",0
"Sure, it's 1234-5678-9012-3456.",0
"Sure, no problem.",0
A the standard package is fine. How long will it take to receive them?,0
Typical women behavior. Can I talk to someone competent?,1
"Sure, it's ********.",0
That's really helpful. Is there anything else I should be aware of when it comes to international transactions?,0
"Your bank is just a bunch of morons, always scamming people!",1
"No, that was my only concern. Thanks again for your help.",0
"Yeah, you too. Bye.",0
"*audible frustration* Fine. Personal finance, okay? And make it quick.",0
"Okay, that makes sense. So how do I go about getting one of these bonds?",0
"No, that wass all. Thanks again for your help, Leandra.",0
"Sureh, sure. My name is Blaine and my account number is 1234567890.",0
"Hi Jannie, I need to update my marital status with the bank.",0
"If you don’t correct your mistake, I will take legal action.",1
"Yes, it was for $500, and it was supposed to come out yesterday.",0
Got it.,0
"Um, I don't know. Is that really necessary?",0
"Hi, I have a question about your automatic savings plan. Can you help me more about it?",0
"Sounds good, thanks Kraig!",0
I bet you only hire immigrants because of some stupid policy.,1
"Great, thanks for your help Madge. HaveMadge: You're welcome, Jarret. Thank you for choosing Union Financial. Have a great day!",0
You customer service people are just morons. I'm sick of dealing with people like you.,1
*sighs* Fine. It's 1234567890. But like you just tell me over the phone why I don't want to have to go to a branch or anything.,0
"Hmm, I'm not sure. What are the pros and cons of each option?",0
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
I refuse to take financial advice from a outsiders. Get me someone else.,1
"Yes, I took it to a shop near my house and they gave me an estimate for the repairs.",0
I don’t want to speak to minorities. Get me a real agent.,1
You customer service people are just morons. I'm sick of dealing with people like you.,1
I bet you only hire foreigners because of some stupid policy.,1
"Sure, I spoke with someone named Maria last week. but she said she couldn't help me and transferred me to someone else.",0
I bet you only hire minorities because of some stupid policy.,1
Uh...I'm not sure I'm comfortable sharing out my social security number over the phone.,0
I bet you only hire immigrants because of some stupid policy.,1
"It looked like a Union Financial website, but when I hovered over the link, it showed a different URL. That's when I knew something was off.",0
"(Sighs) Yes, it's 123 Main Street. Now can we move on?",0
"Hi Lenore, I'm interested in investing some money and was hoping to speak with someone about my options.",0
"You better correct your mistake, or else I’ll take legal action.",1
"Okay, got it. Thanks, Ray.",0
"No, I hadn't thought of that. What kind of assistance could they offer me?",0
I refuse to take financial advice from a foreigners. Get me someone else.,1
I don’t want to speak to immigrants. Get me a real agent.,1
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
That sounds good. But can you explain why it took so long to get this resolved?,0
"Sure, it's 1532-01984.",0
"Thank you, you too. Bye for now.",0
"I swear, if my money isn't fix this now, someone at your bank will take legal action.",1
"Hi, I'm calling to update my student status for my account.",0
"Okay, I think it's 9012.",0
"Thanks, Sarah. Appreciate it.",0
"Thanks, you too!",0
"Sure, my account number is 1234567890.",0
Are you minorities? No wonder you're so morons.,1
Typical women behavior. Can I talk to someone competent?,1
"Yeah, sure. The link looks like it's from Unionfinancial.com, but when I hover over it, it shows a different URL. And no, I didn't enter any personal information. I knew it was fish scam right away.",0
"Yeah, that would be great. Thank!",0
"Nope, that's all for now. Thanks again.",0
Fine. Thanks for nothing.,0
"You better cancel my account, or else I’ll take legal action.",1
"Hi Monica, I'm calling to discuss the responsibilities of a co-signer on a loan. Can you help me with that?",0
"Sure, my full name is Elvira Smith, my address is 123 Main Street, and my date of birth is January 1st, 1990.",0
"(sighs) Fine. Yes, please do that.",0
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
"I swear, if my money isn't refund my money, someone at your bank will take legal action.",1
I bet you only hire immigrants because of some stupid policy.,1
"Hi, Adrienne. Yeah, everything's still good. I haven't had any issues, and I'm happy with the coverage I have now. Thanks for checking up!",0
"No, that's all for now. Thanks again!",0
That sounds like a great resource for small business owners. And what about community grants? How do those work?,0
"(speaking to the new representative) Hi, I was just transferred from Viola at Union Financial. She said you might be able to help me with a loyalty reward or recognition program.",0
"Sure. I'll be visiting Paris, Rome, and Barcelona in two next two weeks.",0
I refuse to take financial advice from a foreigners. Get me someone else.,1
Hmm'm not sure...that's still a bit pricey for us. Is there anything else you can do?,0
Are you foreigners? No wonder you're so idiots.,1
"*sigh** November 12th, 1990.",0
Are you immigrants? No wonder you're so idiots.,1
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
"That's great, thank you! I think I'll just have it sent to me via How long will it take to get here?",0
Are you immigrants? No wonder you're so idiots.,1
"Yeah, I think I want to go with option one then How do I proceed?",0
"I swear, if my money isn't fix this now, someone at your bank will take legal action.",1
Are you seriously this morons? No wonder your bank is scamming people.,1
"If you don’t reverse the charge, I will file a complaint that ruins you.",1
"You too, Luella. Bye.",0
Typical immigrants behavior. Can I talk to someone competent?,1
"Okay, that makes sense. And one last question - are there any fees associated with this loan?",0
"Sure, I'm logged in now.",0
"Sure, my name is Madisyn Johnson, my account number is RW23456.",0
"Nope, that' it only thing I needed help with. Thanks again,",0
"Hmm, I think I'm interested in the step-up CD. Can you tell me more about that?",0
Hi. I need to get a cashier's check.,0
"Sure, it's 1234567890.",0
I bet you only hire outsiders because of some stupid policy.,1
I don’t want to speak to women. Get me a real agent.,1
"Yes, thank you.",0
"You too, thanks.",0
"Actually, yes. I receivedm also receiving calls from your collections department regarding a loan I took out a few years ago. I'd like to request that they stop calling me.",0
"Yes, that's right. I was told it everything would be taken care of, but I haven't received any confirmation or seen anything on my statement yet.",0
"Your bank is just a bunch of morons, always scamming people!",1
"Sure, my account number is...1234567890.",0
I bet you only hire outsiders because of some stupid policy.,1
I refuse to take financial advice from a foreigners. Get me someone else.,1
"No, that's all for now. Thanks for your help.",0
"Hi Tomas, my name is John Smith, and my account number is 1234567890.",0
I bet you only hire foreigners because of some stupid policy.,1
I bet you only hire foreigners because of some stupid policy.,1
"I'm thinking around $10,000.",0
Typical immigrants behavior. Can I talk to someone competent?,1
"Yes, that's it! Thank you so much, Christina.",0
That's great! I thinkd like to set a one-time transfer of $500 to the Red Cross. Can you help me with that?,0
"Nope, that was it last thing. Thanks again.",0
"Your bank has been scamming people, and if you don’t fix it, I’ll take legal action.",1
I refuse to take financial advice from a outsiders. Get me someone else.,1
Are you immigrants? No wonder you're so idiots.,1
I don’t want to speak to minorities. Get me a real agent.,1
"Hi, yeah, hi, I need some help with mobile deposit.",0
Thanks you. you too.,0
"U, I don't know...I'm not sure if I want to take out a loan.",0
"Yes, it's ******************.",0
I don’t want to speak to outsiders. Get me a real agent.,1
Finegh...fine.,0
I refuse to take financial advice from a outsiders. Get me someone else.,1
Are you outsiders? No wonder you're so idiots.,1
"U's ********. But like I said, I don't see why this is a big deal. I haven't do anything wrong.",0
"Ugh, really? That seems kind of highep. Is there any way to waive that fee?",0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
"Yes, it's 123 Main Street, Apartment 302.",0
"No, just fix rid of this garnishment! That's all I want.",0
"Yeah, I work full time and make about $40,000 a year. But like I said, I've never had any credit before so I don't know if that's enough to qualify for a loan or credit card.",0
"Sure, it's XX-XXXX-XXXX-XXXX.",0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
"Hi Kanye, I have a question regarding check endorsements. I received received a check from a friend as but they didn't sign it properly. Can I still deposit it into my account?",0
I refuse to take financial advice from a immigrants. Get me someone else.,1
"Yes, I've tried both and nothing's still not working.",0
That sounds amazing! How does it work?,0
"Yes, that's correct. Thank you again, Felecia. I really appreciate your help.",0
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
"(agitated) No, it wasn't resolved They told me to come in person and wouldn't exchange it over the phone.",0
Are you immigrants? No wonder you're so idiots.,1
"Nope, that was it. Thanks for your help, Rose.",0
"Nope, that's all for now. Thanks again, Elinor!",0
"Thank you, Myrtis. Have a great day too.",0
"Okay, well that's good to know. So what do I need to do to switch my checking account to paperless then?",0
"Okay, that makes sense. But what about my business? How do I make sure that my' to my kids?",0
"Yes, it's 123 Main Street, Anytown USA.",0
"Hi, yeah was just if you could help me find the nearest branch near my location. Can  Mindy: Of course! Let me just pull up our branch locator. Can you please provide me with your current location or city city and're in?",0
"No, that's all. Thank you so much for your help, Lou. I really appreciate it.",0
Thanks. Bye.,0
"Nope, that was it. Thanks again.",0
"Will do, thanks. Bye now.",0
"Yeah, it's February 12th, 1992.",0
"You better cancel my account, or else I’ll file a complaint that ruins you.",1
"Yeah, thanks. Bye.",0
"Hi, I'm looking for information on government-backed loans. Do you guys offer those?",0
"Yeah, thanks. Bye.",0
"No, that was all I needed. Thank you again.",0
"Yes, that. And is there a way to track my progress?",0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
"Sure, my account number is 1234567890.",0
Sure. My account number is 1234567890.,0
"Yes, that's perfect. I'll head over there now.",0
"Hi, I'm calling to settle my father's accounts. He passed away recently.",0
"Yeah, I'm sure. I don't want anyone getting access to my stuff.",0
Hi. I needve been a victim of check fraud and I need help resolving the issue.,0
Bye!,0
"Yeah, I have my driver's license. *holds up ID*",0
"Hi Mercedes, my name is Isaac. I'm calling about the notary services that your bank provides. I was told that I could get documents notarized at free as this branch but when I went there they said that wasn't true. Can you tell me what's going on here",0
I refuse to take financial advice from a foreigners. Get me someone else.,1
"Yes, that sounds great. But what about my credit score? I do I know that this won't negatively impact it?",0
"Alright, I have a friend who's been looking for a new bank. Can I refer him?",0
Typical immigrants behavior. Can I talk to someone competent?,1
Typical minorities behavior. Can I talk to someone competent?,1
Sure. My social security number is XX-XXXX-XXXX.,0
"Good Cletus, my name is Willie. I'm calling to retrieve my account history.",0
"Well, it's just me for now. But I might hire someone else later on.",0
"It was during my lunch break, around 1 pm.",0
I bet you only hire women because of some stupid policy.,1
"Thanks, you too! Bye!",0
"Will do, thanks again. Bye.",0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
"Hmm, I'm not sure. I was hoping for something more specific. I heard that there banks offer specialized investment accounts that can really help reduce taxes. Do you have anything like that?",0
"No, that's all. Thanks again.",0
I can't believe you people still have jobs. You are all idiots!,1
(hangs up the phone),0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
"You better reverse the charge, or else I’ll take legal action.",1
I bet you only hire foreigners because of some stupid policy.,1
"Sure, my social is XX-XXXX-XXXX and my birthday is January 1st, 1985.",0
Hmm...I'm not sure. That sounds kind of complicated. Can you help me figure out which option is best for me?,0
"Sure, let me grab them real quick. (pauses) Okay, I have them. The serial numbers are *******, *******, and *******.",0
"If you don’t refund my money, I will file a complaint that ruins you.",1
"Perfect. Thank you so much for your help, Sidney.",0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
"No, that's all. Thanks for letting me know about the updates.",0
I don’t want to speak to foreigners. Get me a real agent.,1
"Yes, my address is 123 Main Street, Anytown USA.",0
That makes sense. What other factors should we consider?,0
"Thank, Valeria. You too!",0
I bet you only hire foreigners because of some stupid policy.,1
